epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,16219,1.37527,1.13812,1.35547,0.75656,0.66929,0.75538,0.4472,1.21786,1.07516,1.19355,0.004456,0.004456,0.004456
58,16507.2,1.35878,1.13764,1.34362,0.76343,0.66774,0.75643,0.44802,1.2151,1.06289,1.19208,0.004357,0.004357,0.004357
59,16791.6,1.36453,1.13102,1.35644,0.75794,0.67306,0.75631,0.44763,1.21347,1.04848,1.19062,0.004258,0.004258,0.004258
60,17080.5,1.35275,1.11936,1.34188,0.76331,0.67105,0.75735,0.44802,1.21573,1.03586,1.1908,0.004159,0.004159,0.004159
61,17368.9,1.35316,1.1118,1.34249,0.75449,0.67892,0.75754,0.44846,1.21531,1.03006,1.18998,0.00406,0.00406,0.00406
62,17653.9,1.34731,1.11919,1.34442,0.75047,0.68211,0.75817,0.44879,1.21781,1.02712,1.19074,0.003961,0.003961,0.003961
63,17939.2,1.35009,1.10712,1.34514,0.75287,0.68071,0.75867,0.4499,1.21991,1.02582,1.19146,0.003862,0.003862,0.003862
64,18228.6,1.34331,1.09987,1.33645,0.74947,0.68182,0.76056,0.45016,1.21941,1.02375,1.18998,0.003763,0.003763,0.003763
65,18513.5,1.33473,1.09214,1.3327,0.7476,0.68377,0.76076,0.45037,1.21898,1.01761,1.18928,0.003664,0.003664,0.003664
66,18798.7,1.33564,1.09096,1.33007,0.75068,0.68358,0.7607,0.45053,1.21914,1.0112,1.18902,0.003565,0.003565,0.003565
67,19083.9,1.32683,1.08001,1.32679,0.75535,0.6802,0.76016,0.45064,1.21849,1.00586,1.18831,0.003466,0.003466,0.003466
68,19366.4,1.32784,1.07903,1.32677,0.75747,0.68016,0.76144,0.45134,1.21828,1.00175,1.18858,0.003367,0.003367,0.003367
69,19653.7,1.31712,1.07391,1.3202,0.7603,0.68205,0.76294,0.4525,1.21795,1.00028,1.18837,0.003268,0.003268,0.003268
70,19943.6,1.31513,1.06462,1.31309,0.76543,0.6791,0.76478,0.45333,1.21765,0.99985,1.1875,0.003169,0.003169,0.003169
71,20226.2,1.31503,1.0553,1.31508,0.7643,0.67868,0.76455,0.4534,1.21818,0.99897,1.18749,0.00307,0.00307,0.00307
72,20512.6,1.31117,1.05008,1.30959,0.76628,0.67986,0.7649,0.4536,1.21861,0.99975,1.18748,0.002971,0.002971,0.002971
73,20793.3,1.29642,1.03109,1.30278,0.76793,0.68082,0.76498,0.4539,1.21908,0.99697,1.18803,0.002872,0.002872,0.002872
74,21083.4,1.303,1.03714,1.31,0.7664,0.68192,0.76533,0.45473,1.21776,0.99376,1.1873,0.002773,0.002773,0.002773
75,21363.9,1.30156,1.02966,1.30281,0.76614,0.68232,0.76645,0.45539,1.21843,0.99068,1.18781,0.002674,0.002674,0.002674
